,Título,Nota_Avaliação,Nome_Comentario,Comentários,Data_Comentario,Marca,Produto,Link,Palavra_Chave
0,Não tenho o que reclamar,5.0,Karine,Chegou antes do imprevisto. Vou com certeza comprar com vocês novamente!, 04/06/2021 13:47,ucbvet,Antibiótico UCBVET Enrofloxacina Infectrat para Cães,https://www.petlove.com.br/antimicrobiano-ucbvet-demarc-infectrat-para-caes/p?sku=2442545,insect
1,Não entregam,1.0,Marli,Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam, 15/06/2020 14:23,ucbvet,Antibiótico UCBVET Enrofloxacina Infectrat para Cães,https://www.petlove.com.br/antimicrobiano-ucbvet-demarc-infectrat-para-caes/p?sku=2442545,insect
2,Bom,5.0,Regina,Cumpre o que promete, 02/06/2020 15:48,ucbvet,Antibiótico UCBVET Enrofloxacina Infectrat para Cães,https://www.petlove.com.br/antimicrobiano-ucbvet-demarc-infectrat-para-caes/p?sku=2442545,insect
3,Não tenho o que reclamar,5.0,Karine,Chegou antes do imprevisto. Vou com certeza comprar com vocês novamente!, 04/06/2021 13:47,konig,Spray Inseticida König Larvox TEA Pulguicida e Carrapaticida para Ambientes,https://www.petlove.com.br/spray-konig-inseticida-larvox-tea-pulguicida-e-carrapaticida-para-ambientes/p?sku=2423596,insect
4,Não entregam,1.0,Marli,Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam, 15/06/2020 14:23,konig,Spray Inseticida König Larvox TEA Pulguicida e Carrapaticida para Ambientes,https://www.petlove.com.br/spray-konig-inseticida-larvox-tea-pulguicida-e-carrapaticida-para-ambientes/p?sku=2423596,insect
5,Bom,5.0,Regina,Cumpre o que promete, 02/06/2020 15:48,konig,Spray Inseticida König Larvox TEA Pulguicida e Carrapaticida para Ambientes,https://www.petlove.com.br/spray-konig-inseticida-larvox-tea-pulguicida-e-carrapaticida-para-ambientes/p?sku=2423596,insect
6,Ótimo,5.0,Bianca,Auxiliou demais no controle de pulgas na minha casa. Imprescindível utilizar algo que elimine também as pulgas do ambiente. Recomendo!, 13/03/2021 13:57,konig,Spray Inseticida König Larvox TEA Pulguicida e Carrapaticida para Ambientes,https://www.petlove.com.br/spray-konig-inseticida-larvox-tea-pulguicida-e-carrapaticida-para-ambientes/p?sku=2423596,insect
7,Não tenho o que reclamar,5.0,Karine,Chegou antes do imprevisto. Vou com certeza comprar com vocês novamente!, 04/06/2021 13:47,crema-6a,Antibiótico Labyes Crema 6A,https://www.petlove.com.br/crema-6a-103176/p?sku=3103176-1,insect
8,Não entregam,1.0,Marli,Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam Não entregam e não devolvem o dinheiro CUIDADO. Estou quase um mês aguardando. Não cancelam e não entregam, 15/06/2020 14:23,crema-6a,Antibiótico Labyes Crema 6A,https://www.petlove.com.br/crema-6a-103176/p?sku=3103176-1,insect
9,Bom,5.0,Regina,Cumpre o que promete, 02/06/2020 15:48,crema-6a,Antibiótico Labyes Crema 6A,https://www.petlove.com.br/crema-6a-103176/p?sku=3103176-1,insect
