,Título,Nota_Avaliação,Nome_Comentario,Comentários,Data_Comentario,Marca,Produto,Link,Palavra_Chave
0,Muito boa,5,Maria,Sementes pequenas ideal p iniciar filhotes, 17/01/2022 19:27,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
1,Muito bom,5,willanette,Excelente o rico adora, 31/08/2021 21:10,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
2,Megazoo,5,daiane,Muito bom, 05/06/2021 17:29,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
3,Sementes de boa qualidade,5,Débora,"Minhas calopsitas adoraram, não tinha oferecido sementes embaladas só a granel , muito cheirosa.", 27/05/2021 11:40,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
4,Muito bom,5,Janaína,A preferida de meu pássaro. Bastante diversidade de sementes., 01/02/2021 13:33,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
5,Muito bom,5,Janaína,A preferida de meu pássaro. Bastante diversidade de sementes., 01/02/2021 13:33,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
6,Sementes,5,Thais,Cheiro muito bom, 15/12/2020 15:51,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
7,Excelente,5,Angela,Produto de qualidade, 18/11/2020 09:09,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
8,Boa,4,Rosilene,Meus filhos amaram, 10/08/2020 17:56,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
9,Bom,5,Beatriz,Bom, 31/07/2020 17:29,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
10,Excelente alimento,5,Alexandra,Selecionado e com alta qualidade, 14/07/2020 13:36,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
11,A melhor!,5,Ana,Minhas calopsitas amam Megazoo., 03/07/2020 18:12,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
12,Mega zoo mix para calopsitas,5,Adriana,"Excelente alimento, as calopsitas adoram e comem tudo muito rápido.", 30/06/2020 10:03,megazoo,Ração Megazoo Mix para Calopsitas,https://www.petlove.com.br/racao-megazoo-mix-para-calopsita/p?sku=3101906,inseto
